testing_network,filename,target_class,variation,predicted_class,fastlin_eps
Dense3x20,PCA_MNIST_1_var1.png,1,var1,1,3.2470703125
Dense3x20,PCA_MNIST_1_var2.png,1,var2,1,3.22265625
Dense3x20,PCA_MNIST_1_var3.png,1,var3,1,2.8564453125
Dense3x20,PCA_MNIST_1_var4.png,1,var4,1,2.5146484375
Dense3x20,PCA_MNIST_3_var0.png,3,var0,3,3.76953125
Dense3x20,PCA_MNIST_3_var1.png,3,var1,3,5.1220703125
Dense3x20,PCA_MNIST_3_var2.png,3,var2,3,5.849609375
Dense3x20,PCA_MNIST_3_var3.png,3,var3,3,4.9560546875
Dense3x20,PCA_MNIST_3_var4.png,3,var4,3,4.0576171875
Dense4x15,PCA_MNIST_0_var0.png,0,var0,0,4.12109375
Dense4x15,PCA_MNIST_0_var1.png,0,var1,0,5.0244140625
Dense4x15,PCA_MNIST_0_var2.png,0,var2,0,4.1650390625
Dense4x15,PCA_MNIST_0_var3.png,0,var3,0,3.2080078125
Dense4x15,PCA_MNIST_0_var4.png,0,var4,0,2.2607421875
Dense4x15,PCA_MNIST_1_var0.png,1,var0,1,2.6025390625
Dense4x15,PCA_MNIST_1_var1.png,1,var1,1,2.548828125
Dense4x15,PCA_MNIST_1_var2.png,1,var2,1,2.5634765625
Dense4x15,PCA_MNIST_1_var3.png,1,var3,1,2.6953125
Dense4x15,PCA_MNIST_1_var4.png,1,var4,1,2.4609375
Dense4x15,PCA_MNIST_3_var0.png,3,var0,3,3.6865234375
Dense4x15,PCA_MNIST_3_var1.png,3,var1,3,4.912109375
Dense4x15,PCA_MNIST_3_var2.png,3,var2,3,5.390625
Dense4x15,PCA_MNIST_3_var3.png,3,var3,3,4.8681640625
Dense4x15,PCA_MNIST_3_var4.png,3,var4,3,4.4921875
Dense6x10,PCA_MNIST_0_var0.png,0,var0,0,2.4609375
Dense6x10,PCA_MNIST_0_var1.png,0,var1,0,3.18359375
Dense6x10,PCA_MNIST_0_var2.png,0,var2,0,3.037109375
Dense6x10,PCA_MNIST_0_var3.png,0,var3,0,2.6953125
Dense6x10,PCA_MNIST_0_var4.png,0,var4,0,1.962890625
Dense6x10,PCA_MNIST_1_var0.png,1,var0,1,0.95703125
Dense6x10,PCA_MNIST_1_var1.png,1,var1,1,1.3623046875
Dense6x10,PCA_MNIST_1_var2.png,1,var2,1,1.54296875
Dense6x10,PCA_MNIST_1_var3.png,1,var3,1,1.6845703125
Dense6x10,PCA_MNIST_1_var4.png,1,var4,1,1.015625
Dense6x10,PCA_MNIST_3_var0.png,3,var0,3,0.8203125
Dense6x10,PCA_MNIST_3_var1.png,3,var1,3,1.5576171875
Dense6x10,PCA_MNIST_3_var2.png,3,var2,3,2.34375
Dense6x10,PCA_MNIST_3_var3.png,3,var3,3,2.7587890625
Dense6x10,PCA_MNIST_3_var4.png,3,var4,3,2.8125
Dense2x20,PCA_MNIST_0_var0.png,0,var0,0,6.5576171875
Dense2x20,PCA_MNIST_0_var1.png,0,var1,0,8.3935546875
Dense2x20,PCA_MNIST_0_var2.png,0,var2,0,8.359375
Dense2x20,PCA_MNIST_0_var3.png,0,var3,0,7.48046875
Dense2x20,PCA_MNIST_0_var4.png,0,var4,0,5.17578125
Dense2x20,PCA_MNIST_1_var0.png,1,var0,1,4.1650390625
Dense2x20,PCA_MNIST_1_var1.png,1,var1,1,4.6044921875
Dense2x20,PCA_MNIST_1_var2.png,1,var2,1,4.2919921875
Dense2x20,PCA_MNIST_1_var3.png,1,var3,1,3.798828125
Dense2x20,PCA_MNIST_1_var4.png,1,var4,1,2.9443359375
Dense2x20,PCA_MNIST_3_var0.png,3,var0,3,4.2626953125
Dense2x20,PCA_MNIST_3_var1.png,3,var1,3,5.6884765625
Dense2x20,PCA_MNIST_3_var2.png,3,var2,3,7.3388671875
Dense2x20,PCA_MNIST_3_var3.png,3,var3,3,6.962890625
Dense2x20,PCA_MNIST_3_var4.png,3,var4,3,6.46484375
Dense4x20,PCA_MNIST_0_var0.png,0,var0,0,4.5166015625
Dense4x20,PCA_MNIST_0_var1.png,0,var1,0,5.390625
Dense4x20,PCA_MNIST_0_var2.png,0,var2,0,5.21484375
Dense4x20,PCA_MNIST_0_var3.png,0,var3,0,4.4970703125
Dense4x20,PCA_MNIST_0_var4.png,0,var4,0,3.6474609375
Dense4x20,PCA_MNIST_1_var0.png,1,var0,1,2.1826171875
Dense4x20,PCA_MNIST_1_var1.png,1,var1,1,2.568359375
Dense4x20,PCA_MNIST_1_var2.png,1,var2,1,1.875
Dense4x20,PCA_MNIST_1_var3.png,1,var3,1,2.138671875
Dense4x20,PCA_MNIST_1_var4.png,1,var4,1,1.8896484375
Dense4x20,PCA_MNIST_3_var0.png,3,var0,3,2.7783203125
Dense4x20,PCA_MNIST_3_var1.png,3,var1,3,3.0712890625
Dense4x20,PCA_MNIST_3_var2.png,3,var2,3,3.28125
Dense4x20,PCA_MNIST_3_var3.png,3,var3,3,3.41796875
Dense4x20,PCA_MNIST_3_var4.png,3,var4,3,3.4619140625
Dense5x20,PCA_MNIST_0_var0.png,0,var0,0,4.7509765625
Dense5x20,PCA_MNIST_0_var1.png,0,var1,0,5.0732421875
Dense5x20,PCA_MNIST_0_var2.png,0,var2,0,3.92578125
Dense5x20,PCA_MNIST_0_var3.png,0,var3,0,3.466796875
Dense5x20,PCA_MNIST_0_var4.png,0,var4,0,2.900390625
Dense5x20,PCA_MNIST_1_var0.png,1,var0,1,1.93359375
Dense5x20,PCA_MNIST_1_var1.png,1,var1,1,1.9482421875
Dense5x20,PCA_MNIST_1_var2.png,1,var2,1,1.6845703125
Dense5x20,PCA_MNIST_1_var3.png,1,var3,1,1.5478515625
Dense5x20,PCA_MNIST_1_var4.png,1,var4,1,1.5771484375
Dense5x20,PCA_MNIST_3_var0.png,3,var0,3,3.2861328125
Dense5x20,PCA_MNIST_3_var1.png,3,var1,3,3.955078125
Dense5x20,PCA_MNIST_3_var2.png,3,var2,3,4.2919921875
Dense5x20,PCA_MNIST_3_var3.png,3,var3,3,4.1748046875
Dense5x20,PCA_MNIST_3_var4.png,3,var4,3,4.169921875
Dense3x50,PCA_MNIST_0_var0.png,0,var0,0,5.0390625
Dense3x50,PCA_MNIST_0_var1.png,0,var1,0,6.0546875
Dense3x50,PCA_MNIST_0_var2.png,0,var2,0,5.7568359375
Dense3x50,PCA_MNIST_0_var3.png,0,var3,0,5.17578125
Dense3x50,PCA_MNIST_0_var4.png,0,var4,0,4.08203125
Dense3x50,PCA_MNIST_1_var0.png,1,var0,1,2.8173828125
Dense3x50,PCA_MNIST_1_var1.png,1,var1,1,2.7880859375
Dense3x50,PCA_MNIST_1_var2.png,1,var2,1,2.7392578125
Dense3x50,PCA_MNIST_1_var3.png,1,var3,1,2.900390625
Dense3x50,PCA_MNIST_1_var4.png,1,var4,1,2.4365234375
Dense3x50,PCA_MNIST_3_var0.png,3,var0,3,4.052734375
Dense3x50,PCA_MNIST_3_var1.png,3,var1,3,3.8037109375
Dense3x50,PCA_MNIST_3_var2.png,3,var2,3,4.208984375
Dense3x50,PCA_MNIST_3_var3.png,3,var3,3,4.4287109375
Dense3x50,PCA_MNIST_3_var4.png,3,var4,3,4.130859375
Dense3x200,PCA_MNIST_0_var0.png,0,var0,0,4.43359375
Dense3x200,PCA_MNIST_0_var1.png,0,var1,0,5.048828125
Dense3x200,PCA_MNIST_0_var2.png,0,var2,0,4.0771484375
Dense3x200,PCA_MNIST_0_var3.png,0,var3,0,3.6083984375
Dense3x200,PCA_MNIST_0_var4.png,0,var4,0,3.251953125
Dense3x200,PCA_MNIST_1_var0.png,1,var0,1,2.3388671875
Dense3x200,PCA_MNIST_1_var1.png,1,var1,1,1.9580078125
Dense3x200,PCA_MNIST_1_var2.png,1,var2,1,1.1572265625
Dense3x200,PCA_MNIST_1_var3.png,1,var3,1,1.826171875
Dense3x200,PCA_MNIST_1_var4.png,1,var4,1,1.943359375
Dense3x200,PCA_MNIST_3_var0.png,3,var0,3,3.4716796875
Dense3x200,PCA_MNIST_3_var1.png,3,var1,3,3.4375
Dense3x200,PCA_MNIST_3_var2.png,3,var2,3,3.046875
Dense3x200,PCA_MNIST_3_var3.png,3,var3,3,3.30078125
Dense3x200,PCA_MNIST_3_var4.png,3,var4,3,3.212890625
Dense2x41,PCA_MNIST_0_var0.png,0,var0,0,5.46875
Dense2x41,PCA_MNIST_0_var1.png,0,var1,0,6.7236328125
Dense2x41,PCA_MNIST_0_var2.png,0,var2,0,6.3671875
Dense2x41,PCA_MNIST_0_var3.png,0,var3,0,5.4052734375
Dense2x41,PCA_MNIST_0_var4.png,0,var4,0,4.1015625
Dense2x41,PCA_MNIST_1_var0.png,1,var0,1,2.783203125
Dense2x41,PCA_MNIST_1_var1.png,1,var1,1,2.919921875
Dense2x41,PCA_MNIST_1_var2.png,1,var2,1,2.8173828125
Dense2x41,PCA_MNIST_1_var3.png,1,var3,1,3.1396484375
Dense2x41,PCA_MNIST_1_var4.png,1,var4,1,2.978515625
Dense2x41,PCA_MNIST_3_var0.png,3,var0,3,4.501953125
Dense2x41,PCA_MNIST_3_var1.png,3,var1,3,4.501953125
Dense2x41,PCA_MNIST_3_var2.png,3,var2,3,4.189453125
Dense2x41,PCA_MNIST_3_var3.png,3,var3,3,3.8037109375
Dense2x41,PCA_MNIST_3_var4.png,3,var4,3,3.26171875
Dense3x38,PCA_MNIST_0_var0.png,0,var0,0,5.234375
Dense3x38,PCA_MNIST_0_var1.png,0,var1,0,6.5185546875
Dense3x38,PCA_MNIST_0_var2.png,0,var2,0,6.2890625
Dense3x38,PCA_MNIST_0_var3.png,0,var3,0,5.5029296875
Dense3x38,PCA_MNIST_0_var4.png,0,var4,0,4.1259765625
Dense3x38,PCA_MNIST_1_var0.png,1,var0,1,2.4658203125
Dense3x38,PCA_MNIST_1_var1.png,1,var1,1,2.63671875
Dense3x38,PCA_MNIST_1_var2.png,1,var2,1,2.36328125
Dense3x38,PCA_MNIST_1_var3.png,1,var3,1,2.529296875
Dense3x38,PCA_MNIST_1_var4.png,1,var4,1,2.4072265625
Dense3x38,PCA_MNIST_3_var0.png,3,var0,3,4.4287109375
Dense3x38,PCA_MNIST_3_var1.png,3,var1,3,4.21875
Dense3x38,PCA_MNIST_3_var2.png,3,var2,3,4.2822265625
Dense3x38,PCA_MNIST_3_var3.png,3,var3,3,3.8916015625
Dense3x38,PCA_MNIST_3_var4.png,3,var4,3,3.544921875
Dense2x12,PCA_MNIST_0_var0.png,0,var0,0,7.3583984375
Dense2x12,PCA_MNIST_0_var1.png,0,var1,0,8.955078125
Dense2x12,PCA_MNIST_0_var2.png,0,var2,0,8.1103515625
Dense2x12,PCA_MNIST_0_var3.png,0,var3,0,6.8603515625
Dense2x12,PCA_MNIST_0_var4.png,0,var4,0,5.0439453125
Dense2x12,PCA_MNIST_1_var0.png,1,var0,1,3.1689453125
Dense2x12,PCA_MNIST_1_var1.png,1,var1,1,3.9453125
Dense2x12,PCA_MNIST_1_var2.png,1,var2,1,3.7939453125
Dense2x12,PCA_MNIST_1_var3.png,1,var3,1,3.515625
Dense2x12,PCA_MNIST_1_var4.png,1,var4,1,2.75390625
Dense2x12,PCA_MNIST_3_var0.png,3,var0,3,5.05859375
Dense2x12,PCA_MNIST_3_var1.png,3,var1,3,5.7275390625
Dense2x12,PCA_MNIST_3_var2.png,3,var2,3,6.23046875
Dense2x12,PCA_MNIST_3_var3.png,3,var3,3,5.6884765625
Dense2x12,PCA_MNIST_3_var4.png,3,var4,3,4.98046875
Dense2x28,PCA_MNIST_0_var0.png,0,var0,0,4.8974609375
Dense2x28,PCA_MNIST_0_var1.png,0,var1,0,6.09375
Dense2x28,PCA_MNIST_0_var2.png,0,var2,0,5.68359375
Dense2x28,PCA_MNIST_0_var3.png,0,var3,0,5.009765625
Dense2x28,PCA_MNIST_0_var4.png,0,var4,0,3.5986328125
Dense2x28,PCA_MNIST_1_var0.png,1,var0,1,4.00390625
Dense2x28,PCA_MNIST_1_var1.png,1,var1,1,3.9990234375
Dense2x28,PCA_MNIST_1_var2.png,1,var2,1,3.3056640625
Dense2x28,PCA_MNIST_1_var3.png,1,var3,1,3.02734375
Dense2x28,PCA_MNIST_1_var4.png,1,var4,1,2.578125
Dense2x28,PCA_MNIST_3_var0.png,3,var0,3,4.482421875
Dense2x28,PCA_MNIST_3_var1.png,3,var1,3,4.6923828125
Dense2x28,PCA_MNIST_3_var2.png,3,var2,3,4.833984375
Dense2x28,PCA_MNIST_3_var3.png,3,var3,3,4.2236328125
Dense2x28,PCA_MNIST_3_var4.png,3,var4,3,3.4716796875
Dense2x23,PCA_MNIST_0_var0.png,0,var0,0,6.3330078125
Dense2x23,PCA_MNIST_0_var1.png,0,var1,0,7.470703125
Dense2x23,PCA_MNIST_0_var2.png,0,var2,0,7.01171875
Dense2x23,PCA_MNIST_0_var3.png,0,var3,0,6.5234375
Dense2x23,PCA_MNIST_0_var4.png,0,var4,0,5.009765625
Dense2x23,PCA_MNIST_1_var0.png,1,var0,1,3.828125
Dense2x23,PCA_MNIST_1_var1.png,1,var1,1,3.9990234375
Dense2x23,PCA_MNIST_1_var2.png,1,var2,1,3.5546875
Dense2x23,PCA_MNIST_1_var3.png,1,var3,1,3.1201171875
Dense2x23,PCA_MNIST_1_var4.png,1,var4,1,2.3876953125
Dense2x23,PCA_MNIST_3_var0.png,3,var0,3,4.1064453125
Dense2x23,PCA_MNIST_3_var1.png,3,var1,3,5.1416015625
Dense2x23,PCA_MNIST_3_var2.png,3,var2,3,5.3564453125
Dense2x23,PCA_MNIST_3_var3.png,3,var3,3,4.7412109375
Dense2x23,PCA_MNIST_3_var4.png,3,var4,3,3.9013671875
Dense2x22,PCA_MNIST_0_var0.png,0,var0,0,5.64453125
Dense2x22,PCA_MNIST_0_var1.png,0,var1,0,7.0654296875
Dense2x22,PCA_MNIST_0_var2.png,0,var2,0,6.6259765625
Dense2x22,PCA_MNIST_0_var3.png,0,var3,0,5.419921875
Dense2x22,PCA_MNIST_0_var4.png,0,var4,0,3.8525390625
Dense2x22,PCA_MNIST_1_var0.png,1,var0,1,3.173828125
Dense2x22,PCA_MNIST_1_var1.png,1,var1,1,3.427734375
Dense2x22,PCA_MNIST_1_var2.png,1,var2,1,3.5595703125
Dense2x22,PCA_MNIST_1_var3.png,1,var3,1,3.8232421875
Dense2x22,PCA_MNIST_1_var4.png,1,var4,1,2.958984375
Dense2x22,PCA_MNIST_3_var0.png,3,var0,3,4.462890625
Dense2x22,PCA_MNIST_3_var1.png,3,var1,3,5.0146484375
Dense2x22,PCA_MNIST_3_var2.png,3,var2,3,4.8486328125
Dense2x22,PCA_MNIST_3_var3.png,3,var3,3,3.8671875
Dense2x22,PCA_MNIST_3_var4.png,3,var4,3,3.1591796875
Dense3x31,PCA_MNIST_0_var0.png,0,var0,0,5.0146484375
Dense3x31,PCA_MNIST_0_var1.png,0,var1,0,6.2451171875
Dense3x31,PCA_MNIST_0_var2.png,0,var2,0,5.87890625
Dense3x31,PCA_MNIST_0_var3.png,0,var3,0,4.814453125
Dense3x31,PCA_MNIST_0_var4.png,0,var4,0,3.53515625
Dense3x31,PCA_MNIST_1_var0.png,1,var0,1,2.3876953125
Dense3x31,PCA_MNIST_1_var1.png,1,var1,1,2.7001953125
Dense3x31,PCA_MNIST_1_var2.png,1,var2,1,2.3193359375
Dense3x31,PCA_MNIST_1_var3.png,1,var3,1,2.314453125
Dense3x31,PCA_MNIST_1_var4.png,1,var4,1,1.9677734375
Dense3x31,PCA_MNIST_3_var0.png,3,var0,3,4.0869140625
Dense3x31,PCA_MNIST_3_var1.png,3,var1,3,4.130859375
Dense3x31,PCA_MNIST_3_var2.png,3,var2,3,4.5751953125
Dense3x31,PCA_MNIST_3_var3.png,3,var3,3,4.521484375
Dense3x31,PCA_MNIST_3_var4.png,3,var4,3,3.5546875
Dense2x34,PCA_MNIST_0_var0.png,0,var0,0,4.765625
Dense2x34,PCA_MNIST_0_var1.png,0,var1,0,5.703125
Dense2x34,PCA_MNIST_0_var2.png,0,var2,0,5.0732421875
Dense2x34,PCA_MNIST_0_var3.png,0,var3,0,4.2431640625
Dense2x34,PCA_MNIST_0_var4.png,0,var4,0,3.1787109375
Dense2x34,PCA_MNIST_1_var0.png,1,var0,1,2.8271484375
Dense2x34,PCA_MNIST_1_var1.png,1,var1,1,3.2275390625
Dense2x34,PCA_MNIST_1_var2.png,1,var2,1,2.216796875
Dense2x34,PCA_MNIST_1_var3.png,1,var3,1,2.9248046875
Dense2x34,PCA_MNIST_1_var4.png,1,var4,1,3.1201171875
Dense2x34,PCA_MNIST_3_var0.png,3,var0,3,4.3505859375
Dense2x34,PCA_MNIST_3_var1.png,3,var1,3,4.1748046875
Dense2x34,PCA_MNIST_3_var2.png,3,var2,3,3.857421875
Dense2x34,PCA_MNIST_3_var3.png,3,var3,3,3.5205078125
Dense2x34,PCA_MNIST_3_var4.png,3,var4,3,3.330078125
Dense3x42,PCA_MNIST_0_var0.png,0,var0,0,4.0087890625
Dense3x42,PCA_MNIST_0_var1.png,0,var1,0,5.0732421875
Dense3x42,PCA_MNIST_0_var2.png,0,var2,0,5.205078125
Dense3x42,PCA_MNIST_0_var3.png,0,var3,0,3.623046875
Dense3x42,PCA_MNIST_0_var4.png,0,var4,0,3.359375
Dense3x42,PCA_MNIST_1_var0.png,1,var0,1,3.0859375
Dense3x42,PCA_MNIST_1_var1.png,1,var1,1,2.9931640625
Dense3x42,PCA_MNIST_1_var2.png,1,var2,1,2.6513671875
Dense3x42,PCA_MNIST_1_var3.png,1,var3,1,2.6220703125
Dense3x42,PCA_MNIST_1_var4.png,1,var4,1,2.5634765625
Dense3x42,PCA_MNIST_3_var0.png,3,var0,3,3.33984375
Dense3x42,PCA_MNIST_3_var1.png,3,var1,3,3.759765625
Dense3x42,PCA_MNIST_3_var2.png,3,var2,3,4.5849609375
Dense3x42,PCA_MNIST_3_var3.png,3,var3,3,4.2333984375
Dense3x42,PCA_MNIST_3_var4.png,3,var4,3,3.26171875
Dense3x51,PCA_MNIST_0_var0.png,0,var0,0,5.1904296875
Dense3x51,PCA_MNIST_0_var1.png,0,var1,0,6.11328125
Dense3x51,PCA_MNIST_0_var2.png,0,var2,0,5.48828125
Dense3x51,PCA_MNIST_0_var3.png,0,var3,0,4.384765625
Dense3x51,PCA_MNIST_0_var4.png,0,var4,0,3.369140625
Dense3x51,PCA_MNIST_1_var0.png,1,var0,1,2.822265625
Dense3x51,PCA_MNIST_1_var1.png,1,var1,1,2.6904296875
Dense3x51,PCA_MNIST_1_var2.png,1,var2,1,2.3486328125
Dense3x51,PCA_MNIST_1_var3.png,1,var3,1,2.0849609375
Dense3x51,PCA_MNIST_1_var4.png,1,var4,1,2.0556640625
Dense3x51,PCA_MNIST_3_var0.png,3,var0,3,3.1005859375
Dense3x51,PCA_MNIST_3_var1.png,3,var1,3,3.173828125
Dense3x51,PCA_MNIST_3_var2.png,3,var2,3,2.59765625
Dense3x51,PCA_MNIST_3_var3.png,3,var3,3,3.154296875
Dense3x51,PCA_MNIST_3_var4.png,3,var4,3,3.046875
Dense3x25,PCA_MNIST_0_var0.png,0,var0,0,6.2939453125
Dense3x25,PCA_MNIST_0_var1.png,0,var1,0,7.87109375
Dense3x25,PCA_MNIST_0_var2.png,0,var2,0,6.7626953125
Dense3x25,PCA_MNIST_0_var3.png,0,var3,0,5.3564453125
Dense3x25,PCA_MNIST_0_var4.png,0,var4,0,5.185546875
Dense3x25,PCA_MNIST_1_var0.png,1,var0,1,3.18359375
Dense3x25,PCA_MNIST_1_var1.png,1,var1,1,3.2080078125
Dense3x25,PCA_MNIST_1_var2.png,1,var2,1,2.9638671875
Dense3x25,PCA_MNIST_1_var3.png,1,var3,1,2.841796875
Dense3x25,PCA_MNIST_1_var4.png,1,var4,1,2.2412109375
Dense3x25,PCA_MNIST_3_var0.png,3,var0,3,4.208984375
Dense3x25,PCA_MNIST_3_var1.png,3,var1,3,5.1513671875
Dense3x25,PCA_MNIST_3_var2.png,3,var2,3,5.25390625
Dense3x25,PCA_MNIST_3_var3.png,3,var3,3,5.2294921875
Dense3x25,PCA_MNIST_3_var4.png,3,var4,3,4.21875
Dense2x29,PCA_MNIST_0_var0.png,0,var0,0,5.15625
Dense2x29,PCA_MNIST_0_var1.png,0,var1,0,6.796875
Dense2x29,PCA_MNIST_0_var2.png,0,var2,0,7.0068359375
Dense2x29,PCA_MNIST_0_var3.png,0,var3,0,6.0791015625
Dense2x29,PCA_MNIST_0_var4.png,0,var4,0,4.3505859375
Dense2x29,PCA_MNIST_1_var0.png,1,var0,1,3.4033203125
Dense2x29,PCA_MNIST_1_var1.png,1,var1,1,3.984375
Dense2x29,PCA_MNIST_1_var2.png,1,var2,1,3.69140625
Dense2x29,PCA_MNIST_1_var3.png,1,var3,1,3.65234375
Dense2x29,PCA_MNIST_1_var4.png,1,var4,1,3.154296875
Dense2x29,PCA_MNIST_3_var0.png,3,var0,3,4.1455078125
Dense2x29,PCA_MNIST_3_var1.png,3,var1,3,4.697265625
Dense2x29,PCA_MNIST_3_var2.png,3,var2,3,5.4931640625
Dense2x29,PCA_MNIST_3_var3.png,3,var3,3,4.8828125
Dense2x29,PCA_MNIST_3_var4.png,3,var4,3,4.4287109375
Dense3x41,PCA_MNIST_0_var0.png,0,var0,0,5.234375
Dense3x41,PCA_MNIST_0_var1.png,0,var1,0,6.7822265625
Dense3x41,PCA_MNIST_0_var2.png,0,var2,0,5.703125
Dense3x41,PCA_MNIST_0_var3.png,0,var3,0,4.8876953125
Dense3x41,PCA_MNIST_0_var4.png,0,var4,0,4.208984375
Dense3x41,PCA_MNIST_1_var0.png,1,var0,1,2.5439453125
Dense3x41,PCA_MNIST_1_var1.png,1,var1,1,2.490234375
Dense3x41,PCA_MNIST_1_var2.png,1,var2,1,2.1044921875
Dense3x41,PCA_MNIST_1_var3.png,1,var3,1,2.48046875
Dense3x41,PCA_MNIST_1_var4.png,1,var4,1,2.4267578125
Dense3x41,PCA_MNIST_3_var0.png,3,var0,3,4.4140625
Dense3x41,PCA_MNIST_3_var1.png,3,var1,3,4.3212890625
Dense3x41,PCA_MNIST_3_var2.png,3,var2,3,4.345703125
Dense3x41,PCA_MNIST_3_var3.png,3,var3,3,4.541015625
Dense3x41,PCA_MNIST_3_var4.png,3,var4,3,4.365234375
Dense3x19,PCA_MNIST_0_var0.png,0,var0,0,5.9326171875
Dense3x19,PCA_MNIST_0_var1.png,0,var1,0,7.2802734375
Dense3x19,PCA_MNIST_0_var2.png,0,var2,0,7.158203125
Dense3x19,PCA_MNIST_0_var3.png,0,var3,0,6.513671875
Dense3x19,PCA_MNIST_0_var4.png,0,var4,0,5.341796875
Dense3x19,PCA_MNIST_1_var0.png,1,var0,1,3.017578125
Dense3x19,PCA_MNIST_1_var1.png,1,var1,1,3.57421875
Dense3x19,PCA_MNIST_1_var2.png,1,var2,1,3.7890625
Dense3x19,PCA_MNIST_1_var3.png,1,var3,1,3.671875
Dense3x19,PCA_MNIST_1_var4.png,1,var4,1,2.7197265625
Dense3x19,PCA_MNIST_3_var0.png,3,var0,3,3.896484375
Dense3x19,PCA_MNIST_3_var1.png,3,var1,3,5.126953125
Dense3x19,PCA_MNIST_3_var2.png,3,var2,3,5.9716796875
Dense3x19,PCA_MNIST_3_var3.png,3,var3,3,5.732421875
Dense3x19,PCA_MNIST_3_var4.png,3,var4,3,4.9853515625
Dense2x39,PCA_MNIST_0_var0.png,0,var0,0,5.1513671875
Dense2x39,PCA_MNIST_0_var1.png,0,var1,0,6.171875
Dense2x39,PCA_MNIST_0_var2.png,0,var2,0,5.6884765625
Dense2x39,PCA_MNIST_0_var3.png,0,var3,0,4.8974609375
Dense2x39,PCA_MNIST_0_var4.png,0,var4,0,3.740234375
Dense2x39,PCA_MNIST_1_var0.png,1,var0,1,3.3251953125
Dense2x39,PCA_MNIST_1_var1.png,1,var1,1,3.369140625
Dense2x39,PCA_MNIST_1_var2.png,1,var2,1,3.0322265625
Dense2x39,PCA_MNIST_1_var3.png,1,var3,1,2.6904296875
Dense2x39,PCA_MNIST_1_var4.png,1,var4,1,2.1484375
Dense2x39,PCA_MNIST_3_var0.png,3,var0,3,4.08203125
Dense2x39,PCA_MNIST_3_var1.png,3,var1,3,4.8486328125
Dense2x39,PCA_MNIST_3_var2.png,3,var2,3,4.453125
Dense2x39,PCA_MNIST_3_var3.png,3,var3,3,3.662109375
Dense2x39,PCA_MNIST_3_var4.png,3,var4,3,3.3544921875
Dense3x47,PCA_MNIST_0_var0.png,0,var0,0,4.3896484375
Dense3x47,PCA_MNIST_0_var1.png,0,var1,0,6.03515625
Dense3x47,PCA_MNIST_0_var2.png,0,var2,0,5.595703125
Dense3x47,PCA_MNIST_0_var3.png,0,var3,0,4.2236328125
Dense3x47,PCA_MNIST_0_var4.png,0,var4,0,3.7890625
Dense3x47,PCA_MNIST_1_var0.png,1,var0,1,2.7197265625
Dense3x47,PCA_MNIST_1_var1.png,1,var1,1,2.4951171875
