testing_network,filename,source,target_class,predicted_class,fastlin_eps
Dense2x70,Avg_Exp2_1.png,Exp2,1,1,6.3427734375
Dense2x70,Avg_Exp2_3.png,Exp2,3,3,19.150390625
Dense2x70,Avg_MNIST_0.png,MNIST,0,0,5.0634765625
Dense2x70,Avg_MNIST_1.png,MNIST,1,1,2.6953125
Dense2x70,Avg_MNIST_3.png,MNIST,3,3,2.9541015625
Dense3x15,Avg_Exp2_0.png,Exp2,0,0,5.947265625
Dense3x15,Avg_Exp2_1.png,Exp2,1,3,0.46875
Dense3x15,Avg_Exp2_3.png,Exp2,3,3,19.6044921875
Dense3x15,Avg_MNIST_0.png,MNIST,0,0,4.189453125
Dense3x15,Avg_MNIST_1.png,MNIST,1,1,1.7333984375
Dense3x15,Avg_MNIST_3.png,MNIST,3,3,3.5595703125
Dense3x20,Avg_Exp2_0.png,Exp2,0,0,11.806640625
Dense3x20,Avg_Exp2_1.png,Exp2,1,1,2.3876953125
Dense3x20,Avg_Exp2_3.png,Exp2,3,3,16.9482421875
Dense3x20,Avg_MNIST_0.png,MNIST,0,0,5.1416015625
Dense3x20,Avg_MNIST_1.png,MNIST,1,1,2.333984375
Dense3x20,Avg_MNIST_3.png,MNIST,3,3,2.7587890625
Dense3x25,Avg_Exp2_0.png,Exp2,0,0,10.068359375
Dense3x25,Avg_Exp2_1.png,Exp2,1,1,1.0546875
Dense3x25,Avg_Exp2_3.png,Exp2,3,3,20.3125
Dense3x25,Avg_MNIST_0.png,MNIST,0,0,3.7451171875
Dense3x25,Avg_MNIST_1.png,MNIST,1,1,2.509765625
Dense3x25,Avg_MNIST_3.png,MNIST,3,3,3.515625
Dense3x30,Avg_Exp2_0.png,Exp2,0,0,9.3896484375
Dense3x30,Avg_Exp2_1.png,Exp2,1,2,0.3662109375
Dense3x30,Avg_Exp2_3.png,Exp2,3,3,20.1220703125
Dense3x30,Avg_MNIST_0.png,MNIST,0,0,5.283203125
Dense3x30,Avg_MNIST_1.png,MNIST,1,1,2.16796875
Dense3x30,Avg_MNIST_3.png,MNIST,3,3,4.0771484375
Dense3x35,Avg_Exp2_0.png,Exp2,0,0,8.2275390625
Dense3x35,Avg_Exp2_1.png,Exp2,1,1,1.9775390625
Dense3x35,Avg_Exp2_3.png,Exp2,3,3,25.3369140625
Dense3x35,Avg_MNIST_0.png,MNIST,0,0,3.642578125
Dense3x35,Avg_MNIST_1.png,MNIST,1,1,2.626953125
Dense3x35,Avg_MNIST_3.png,MNIST,3,3,3.02734375
Dense3x45,Avg_Exp2_0.png,Exp2,0,0,8.5107421875
Dense3x45,Avg_Exp2_1.png,Exp2,1,1,2.890625
Dense3x45,Avg_Exp2_3.png,Exp2,3,3,22.2705078125
Dense3x45,Avg_MNIST_0.png,MNIST,0,0,4.1943359375
Dense3x45,Avg_MNIST_1.png,MNIST,1,1,2.6416015625
Dense3x45,Avg_MNIST_3.png,MNIST,3,3,4.47265625
Dense3x50,Avg_Exp2_0.png,Exp2,0,0,10.771484375
Dense3x50,Avg_Exp2_1.png,Exp2,1,3,0.9765625
Dense3x50,Avg_Exp2_3.png,Exp2,3,3,19.052734375
Dense3x50,Avg_MNIST_0.png,MNIST,0,0,4.6875
Dense3x50,Avg_MNIST_1.png,MNIST,1,1,2.1240234375
Dense3x50,Avg_MNIST_3.png,MNIST,3,3,3.2666015625
Dense3x55,Avg_Exp2_0.png,Exp2,0,0,11.0693359375
Dense3x55,Avg_Exp2_1.png,Exp2,1,2,0.5859375
Dense3x55,Avg_Exp2_3.png,Exp2,3,3,18.271484375
Dense3x55,Avg_MNIST_0.png,MNIST,0,0,4.43359375
Dense3x55,Avg_MNIST_1.png,MNIST,1,1,2.03125
Dense3x55,Avg_MNIST_3.png,MNIST,3,3,3.0712890625
Dense3x60,Avg_Exp2_0.png,Exp2,0,0,9.658203125
Dense3x60,Avg_Exp2_1.png,Exp2,1,1,5.2001953125
Dense3x60,Avg_Exp2_3.png,Exp2,3,3,18.203125
Dense3x60,Avg_MNIST_0.png,MNIST,0,0,4.1748046875
Dense3x60,Avg_MNIST_1.png,MNIST,1,1,2.03125
Dense3x60,Avg_MNIST_3.png,MNIST,3,3,3.2568359375
Dense3x65,Avg_Exp2_0.png,Exp2,0,0,7.6220703125
Dense3x65,Avg_Exp2_1.png,Exp2,1,1,1.435546875
Dense3x65,Avg_Exp2_3.png,Exp2,3,3,12.958984375
Dense3x65,Avg_MNIST_0.png,MNIST,0,0,3.583984375
Dense3x65,Avg_MNIST_1.png,MNIST,1,1,1.689453125
Dense3x65,Avg_MNIST_3.png,MNIST,3,3,1.3330078125
Dense3x70,Avg_Exp2_0.png,Exp2,0,0,8.7939453125
Dense3x70,Avg_Exp2_1.png,Exp2,1,3,2.7783203125
Dense3x70,Avg_Exp2_3.png,Exp2,3,3,17.548828125
Dense3x70,Avg_MNIST_0.png,MNIST,0,0,4.1748046875
Dense3x70,Avg_MNIST_1.png,MNIST,1,1,1.0693359375
Dense3x70,Avg_MNIST_3.png,MNIST,3,3,2.96875
Dense4x20,Avg_Exp2_0.png,Exp2,0,0,5.9619140625
Dense4x20,Avg_Exp2_1.png,Exp2,1,1,6.142578125
Dense4x20,Avg_Exp2_3.png,Exp2,3,3,24.1796875
Dense4x20,Avg_MNIST_0.png,MNIST,0,0,4.5458984375
Dense4x20,Avg_MNIST_1.png,MNIST,1,1,2.65625
Dense4x20,Avg_MNIST_3.png,MNIST,3,3,3.857421875
Dense4x25,Avg_Exp2_0.png,Exp2,0,0,9.5361328125
Dense4x25,Avg_Exp2_1.png,Exp2,1,1,0.1025390625
Dense4x25,Avg_Exp2_3.png,Exp2,3,3,25.0537109375
Dense4x25,Avg_MNIST_0.png,MNIST,0,0,4.0087890625
Dense4x25,Avg_MNIST_1.png,MNIST,1,1,3.2470703125
Dense4x25,Avg_MNIST_3.png,MNIST,3,3,3.388671875
Dense4x30,Avg_Exp2_0.png,Exp2,0,0,9.2333984375
Dense4x30,Avg_Exp2_1.png,Exp2,1,1,3.0810546875
Dense4x30,Avg_Exp2_3.png,Exp2,3,3,17.4365234375
Dense4x30,Avg_MNIST_0.png,MNIST,0,0,4.00390625
Dense4x30,Avg_MNIST_1.png,MNIST,1,1,2.509765625
Dense4x30,Avg_MNIST_3.png,MNIST,3,3,3.4619140625
Dense4x35,Avg_Exp2_0.png,Exp2,0,0,7.744140625
Dense4x35,Avg_Exp2_1.png,Exp2,1,1,5.048828125
Dense4x35,Avg_Exp2_3.png,Exp2,3,3,18.8134765625
Dense4x35,Avg_MNIST_0.png,MNIST,0,0,3.7109375
Dense4x35,Avg_MNIST_1.png,MNIST,1,1,2.099609375
Dense4x35,Avg_MNIST_3.png,MNIST,3,3,3.26171875
Dense4x40,Avg_Exp2_0.png,Exp2,0,0,7.1875
Dense4x40,Avg_Exp2_1.png,Exp2,1,2,0.8642578125
Dense4x40,Avg_Exp2_3.png,Exp2,3,3,19.8046875
Dense4x40,Avg_MNIST_0.png,MNIST,0,0,2.890625
Dense4x40,Avg_MNIST_1.png,MNIST,1,1,1.7431640625
Dense4x40,Avg_MNIST_3.png,MNIST,3,3,2.9345703125
Dense4x45,Avg_Exp2_0.png,Exp2,0,0,7.4609375
Dense4x45,Avg_Exp2_1.png,Exp2,1,1,5.37109375
Dense4x45,Avg_Exp2_3.png,Exp2,3,3,18.4423828125
Dense4x45,Avg_MNIST_0.png,MNIST,0,0,3.5791015625
Dense4x45,Avg_MNIST_1.png,MNIST,1,1,1.4892578125
Dense4x45,Avg_MNIST_3.png,MNIST,3,3,2.2412109375
Dense4x50,Avg_Exp2_0.png,Exp2,0,0,7.4755859375
Dense4x50,Avg_Exp2_1.png,Exp2,1,1,5.0048828125
Dense4x50,Avg_Exp2_3.png,Exp2,3,3,20.4931640625
Dense4x50,Avg_MNIST_0.png,MNIST,0,0,3.115234375
Dense4x50,Avg_MNIST_1.png,MNIST,1,1,1.8115234375
Dense4x50,Avg_MNIST_3.png,MNIST,3,3,2.4609375
Dense4x55,Avg_Exp2_0.png,Exp2,0,0,7.451171875
Dense4x55,Avg_Exp2_1.png,Exp2,1,1,4.6630859375
Dense4x55,Avg_Exp2_3.png,Exp2,3,3,18.359375
Dense4x55,Avg_MNIST_0.png,MNIST,0,0,2.8564453125
Dense4x55,Avg_MNIST_1.png,MNIST,1,1,2.0458984375
Dense4x55,Avg_MNIST_3.png,MNIST,3,3,3.017578125
Dense4x60,Avg_Exp2_0.png,Exp2,0,0,8.486328125
Dense4x60,Avg_Exp2_1.png,Exp2,1,1,1.81640625
Dense4x60,Avg_Exp2_3.png,Exp2,3,3,18.4423828125
Dense4x60,Avg_MNIST_0.png,MNIST,0,0,3.349609375
Dense4x60,Avg_MNIST_1.png,MNIST,1,1,1.3134765625
Dense4x60,Avg_MNIST_3.png,MNIST,3,3,2.8076171875
Dense4x65,Avg_Exp2_0.png,Exp2,0,0,9.4482421875
Dense4x65,Avg_Exp2_1.png,Exp2,1,1,3.4375
Dense4x65,Avg_Exp2_3.png,Exp2,3,3,15.888671875
Dense4x65,Avg_MNIST_0.png,MNIST,0,0,3.544921875
Dense4x65,Avg_MNIST_1.png,MNIST,1,1,1.5478515625
Dense4x65,Avg_MNIST_3.png,MNIST,3,3,2.4609375
Dense4x70,Avg_Exp2_0.png,Exp2,0,0,10.7958984375
Dense4x70,Avg_Exp2_1.png,Exp2,1,3,3.1201171875
Dense4x70,Avg_Exp2_3.png,Exp2,3,3,21.0302734375
Dense4x70,Avg_MNIST_0.png,MNIST,0,0,3.623046875
Dense4x70,Avg_MNIST_1.png,MNIST,1,1,1.6650390625
Dense4x70,Avg_MNIST_3.png,MNIST,3,3,3.115234375
Dense5x20,Avg_Exp2_0.png,Exp2,0,0,12.3388671875
Dense5x20,Avg_Exp2_1.png,Exp2,1,3,2.0361328125
Dense5x20,Avg_Exp2_3.png,Exp2,3,3,17.1875
Dense5x20,Avg_MNIST_0.png,MNIST,0,0,4.5849609375
Dense5x20,Avg_MNIST_1.png,MNIST,1,1,1.6650390625
Dense5x20,Avg_MNIST_3.png,MNIST,3,3,3.4228515625
Dense5x25,Avg_Exp2_0.png,Exp2,0,0,8.2275390625
Dense5x25,Avg_Exp2_1.png,Exp2,1,1,4.0771484375
Dense5x25,Avg_Exp2_3.png,Exp2,3,3,14.306640625
Dense5x25,Avg_MNIST_0.png,MNIST,0,0,4.2919921875
Dense5x25,Avg_MNIST_1.png,MNIST,1,1,1.9677734375
Dense5x25,Avg_MNIST_3.png,MNIST,3,3,2.861328125
Dense5x30,Avg_Exp2_0.png,Exp2,0,0,8.8330078125
Dense5x30,Avg_Exp2_1.png,Exp2,1,3,2.4560546875
Dense5x30,Avg_Exp2_3.png,Exp2,3,3,14.0380859375
Dense5x30,Avg_MNIST_0.png,MNIST,0,0,4.0478515625
Dense5x30,Avg_MNIST_1.png,MNIST,1,1,1.748046875
Dense5x30,Avg_MNIST_3.png,MNIST,3,3,2.8466796875
Dense5x35,Avg_Exp2_0.png,Exp2,0,0,8.759765625
Dense5x35,Avg_Exp2_1.png,Exp2,1,3,0.7373046875
Dense5x35,Avg_Exp2_3.png,Exp2,3,3,22.7734375
Dense5x35,Avg_MNIST_0.png,MNIST,0,0,3.69140625
Dense5x35,Avg_MNIST_1.png,MNIST,1,1,2.060546875
Dense5x35,Avg_MNIST_3.png,MNIST,3,3,3.759765625
Dense5x40,Avg_Exp2_0.png,Exp2,0,0,4.3359375
Dense5x40,Avg_Exp2_1.png,Exp2,1,3,2.861328125
Dense5x40,Avg_Exp2_3.png,Exp2,3,3,14.765625
Dense5x40,Avg_MNIST_0.png,MNIST,0,0,3.056640625
Dense5x40,Avg_MNIST_1.png,MNIST,1,1,1.3818359375
Dense5x40,Avg_MNIST_3.png,MNIST,3,3,2.646484375
Dense5x45,Avg_Exp2_0.png,Exp2,0,0,7.001953125
Dense5x45,Avg_Exp2_1.png,Exp2,1,3,3.095703125
Dense5x45,Avg_Exp2_3.png,Exp2,3,3,19.0087890625
Dense5x45,Avg_MNIST_0.png,MNIST,0,0,2.9345703125
Dense5x45,Avg_MNIST_1.png,MNIST,1,1,1.34765625
Dense5x45,Avg_MNIST_3.png,MNIST,3,3,2.353515625
Dense5x50,Avg_Exp2_0.png,Exp2,0,0,7.470703125
Dense5x50,Avg_Exp2_1.png,Exp2,1,3,1.025390625
Dense5x50,Avg_Exp2_3.png,Exp2,3,3,17.6318359375
Dense5x50,Avg_MNIST_0.png,MNIST,0,0,3.6181640625
Dense5x50,Avg_MNIST_1.png,MNIST,1,1,1.6943359375
Dense5x50,Avg_MNIST_3.png,MNIST,3,3,2.65625
Dense5x55,Avg_Exp2_0.png,Exp2,0,0,9.326171875
Dense5x55,Avg_Exp2_1.png,Exp2,1,1,2.03125
Dense5x55,Avg_Exp2_3.png,Exp2,3,3,12.705078125
Dense5x55,Avg_MNIST_0.png,MNIST,0,0,2.7978515625
Dense5x55,Avg_MNIST_1.png,MNIST,1,1,1.6259765625
Dense5x55,Avg_MNIST_3.png,MNIST,3,3,2.548828125
Dense5x60,Avg_Exp2_0.png,Exp2,0,0,5.927734375
Dense5x60,Avg_Exp2_1.png,Exp2,1,1,4.98046875
Dense5x60,Avg_Exp2_3.png,Exp2,3,3,10.810546875
Dense5x60,Avg_MNIST_0.png,MNIST,0,0,2.91015625
Dense5x60,Avg_MNIST_1.png,MNIST,1,1,1.669921875
Dense5x60,Avg_MNIST_3.png,MNIST,3,3,2.1533203125
Dense5x65,Avg_Exp2_0.png,Exp2,0,0,6.650390625
Dense5x65,Avg_Exp2_1.png,Exp2,1,1,0.4296875
Dense5x65,Avg_Exp2_3.png,Exp2,3,3,14.462890625
Dense5x65,Avg_MNIST_0.png,MNIST,0,0,3.173828125
Dense5x65,Avg_MNIST_1.png,MNIST,1,1,1.1474609375
Dense5x65,Avg_MNIST_3.png,MNIST,3,3,2.3291015625
Dense5x70,Avg_Exp2_0.png,Exp2,0,0,6.54296875
Dense5x70,Avg_Exp2_1.png,Exp2,1,3,0.7275390625
Dense5x70,Avg_Exp2_3.png,Exp2,3,3,16.318359375
Dense5x70,Avg_MNIST_0.png,MNIST,0,0,2.6171875
Dense5x70,Avg_MNIST_1.png,MNIST,1,1,1.1328125
Dense5x70,Avg_MNIST_3.png,MNIST,3,3,2.2021484375
Dense6x25,Avg_Exp2_0.png,Exp2,0,0,6.38671875
Dense6x25,Avg_Exp2_1.png,Exp2,1,3,1.71875
Dense6x25,Avg_Exp2_3.png,Exp2,3,3,13.3544921875
Dense6x25,Avg_MNIST_0.png,MNIST,0,0,3.0126953125
Dense6x25,Avg_MNIST_1.png,MNIST,1,1,1.6015625
Dense6x25,Avg_MNIST_3.png,MNIST,3,3,2.763671875
Dense6x30,Avg_Exp2_0.png,Exp2,0,0,6.376953125
Dense6x30,Avg_Exp2_1.png,Exp2,1,3,4.1796875
Dense6x30,Avg_Exp2_3.png,Exp2,3,3,15.556640625
Dense6x30,Avg_MNIST_0.png,MNIST,0,0,3.28125
Dense6x30,Avg_MNIST_1.png,MNIST,1,1,1.279296875
Dense6x30,Avg_MNIST_3.png,MNIST,3,3,3.115234375
Dense6x35,Avg_Exp2_0.png,Exp2,0,0,8.1640625
Dense6x35,Avg_Exp2_1.png,Exp2,1,2,2.8955078125
Dense6x35,Avg_Exp2_3.png,Exp2,3,3,12.6416015625
Dense6x35,Avg_MNIST_0.png,MNIST,0,0,2.958984375
Dense6x35,Avg_MNIST_1.png,MNIST,1,1,1.708984375
Dense6x35,Avg_MNIST_3.png,MNIST,3,3,2.861328125
Dense6x40,Avg_Exp2_0.png,Exp2,0,0,10.1025390625
Dense6x40,Avg_Exp2_1.png,Exp2,1,2,2.021484375
Dense6x40,Avg_Exp2_3.png,Exp2,3,3,18.271484375
Dense6x40,Avg_MNIST_0.png,MNIST,0,0,3.583984375
Dense6x40,Avg_MNIST_1.png,MNIST,1,1,1.376953125
Dense6x40,Avg_MNIST_3.png,MNIST,3,3,2.783203125
Dense6x45,Avg_Exp2_0.png,Exp2,0,0,7.2314453125
Dense6x45,Avg_Exp2_1.png,Exp2,1,3,4.23828125
Dense6x45,Avg_Exp2_3.png,Exp2,3,3,18.6767578125
Dense6x45,Avg_MNIST_0.png,MNIST,0,0,3.10546875
Dense6x45,Avg_MNIST_1.png,MNIST,1,1,1.2548828125
Dense6x45,Avg_MNIST_3.png,MNIST,3,3,3.388671875
Dense6x50,Avg_Exp2_0.png,Exp2,0,0,6.5576171875
Dense6x50,Avg_Exp2_1.png,Exp2,1,1,4.7412109375
Dense6x50,Avg_Exp2_3.png,Exp2,3,3,9.3505859375
Dense6x50,Avg_MNIST_0.png,MNIST,0,0,2.7880859375
Dense6x50,Avg_MNIST_1.png,MNIST,1,1,1.5478515625
Dense6x50,Avg_MNIST_3.png,MNIST,3,3,1.7529296875
Dense6x55,Avg_Exp2_0.png,Exp2,0,0,7.7099609375
Dense6x55,Avg_Exp2_1.png,Exp2,1,3,0.2001953125
Dense6x55,Avg_Exp2_3.png,Exp2,3,3,15.4248046875
Dense6x55,Avg_MNIST_0.png,MNIST,0,0,2.724609375
Dense6x55,Avg_MNIST_1.png,MNIST,1,1,1.3916015625
Dense6x55,Avg_MNIST_3.png,MNIST,3,3,1.9580078125
Dense6x60,Avg_Exp2_0.png,Exp2,0,0,6.6064453125
Dense6x60,Avg_Exp2_1.png,Exp2,1,3,4.1015625
Dense6x60,Avg_Exp2_3.png,Exp2,3,3,14.8876953125
Dense6x60,Avg_MNIST_0.png,MNIST,0,0,2.2265625
Dense6x60,Avg_MNIST_1.png,MNIST,1,1,1.2548828125
Dense6x60,Avg_MNIST_3.png,MNIST,3,3,1.8603515625
Dense6x65,Avg_Exp2_0.png,Exp2,0,0,8.5009765625
Dense6x65,Avg_Exp2_1.png,Exp2,1,1,1.3037109375
Dense6x65,Avg_Exp2_3.png,Exp2,3,3,16.3134765625
Dense6x65,Avg_MNIST_0.png,MNIST,0,0,3.3203125
Dense6x65,Avg_MNIST_1.png,MNIST,1,1,1.1962890625
Dense6x65,Avg_MNIST_3.png,MNIST,3,3,2.216796875
Dense6x70,Avg_Exp2_0.png,Exp2,0,0,5.3857421875
Dense6x70,Avg_Exp2_1.png,Exp2,1,3,2.4951171875
Dense6x70,Avg_Exp2_3.png,Exp2,3,3,14.9853515625
