testing_network,filename,source,target_class,variation,predicted_class,fastlin_eps
Dense1x20,PCA_MNIST_3_var1.png,MNIST,3,var1,3,6.1767578125
Dense1x20,PCA_MNIST_3_var2.png,MNIST,3,var2,3,6.2841796875
Dense1x20,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.7763671875
Dense1x20,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.8876953125
Dense1x25,PCA_Exp2_0_var0.png,Exp2,0,var0,0,14.6240234375
Dense1x25,PCA_Exp2_0_var1.png,Exp2,0,var1,0,12.3193359375
Dense1x25,PCA_Exp2_0_var2.png,Exp2,0,var2,0,8.310546875
Dense1x25,PCA_Exp2_0_var3.png,Exp2,0,var3,0,4.2138671875
Dense1x25,PCA_Exp2_0_var4.png,Exp2,0,var4,0,0.0390625
Dense1x25,PCA_Exp2_1_var0.png,Exp2,1,var0,1,7.822265625
Dense1x25,PCA_Exp2_1_var1.png,Exp2,1,var1,1,5.4443359375
Dense1x25,PCA_Exp2_1_var2.png,Exp2,1,var2,3,4.2578125
Dense1x25,PCA_Exp2_1_var3.png,Exp2,1,var3,3,6.1669921875
Dense1x25,PCA_Exp2_1_var4.png,Exp2,1,var4,3,7.109375
Dense1x25,PCA_Exp2_3_var0.png,Exp2,3,var0,3,28.7353515625
Dense1x25,PCA_Exp2_3_var1.png,Exp2,3,var1,3,27.01171875
Dense1x25,PCA_Exp2_3_var2.png,Exp2,3,var2,3,23.5546875
Dense1x25,PCA_Exp2_3_var3.png,Exp2,3,var3,3,20.3369140625
Dense1x25,PCA_Exp2_3_var4.png,Exp2,3,var4,3,17.7197265625
Dense1x25,PCA_MNIST_0_var0.png,MNIST,0,var0,0,5.7763671875
Dense1x25,PCA_MNIST_0_var1.png,MNIST,0,var1,0,7.5146484375
Dense1x25,PCA_MNIST_0_var2.png,MNIST,0,var2,0,7.1826171875
Dense1x25,PCA_MNIST_0_var3.png,MNIST,0,var3,0,5.771484375
Dense1x25,PCA_MNIST_0_var4.png,MNIST,0,var4,0,3.837890625
Dense1x25,PCA_MNIST_1_var0.png,MNIST,1,var0,1,3.994140625
Dense1x25,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.228515625
Dense1x25,PCA_MNIST_1_var2.png,MNIST,1,var2,1,4.2919921875
Dense1x25,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.9697265625
Dense1x25,PCA_MNIST_1_var4.png,MNIST,1,var4,1,3.203125
Dense1x25,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.8583984375
Dense1x25,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.25390625
Dense1x25,PCA_MNIST_3_var2.png,MNIST,3,var2,3,6.0302734375
Dense1x25,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.712890625
Dense1x25,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.86328125
Dense1x30,PCA_Exp2_0_var0.png,Exp2,0,var0,0,15.2880859375
Dense1x30,PCA_Exp2_0_var1.png,Exp2,0,var1,0,13.0615234375
Dense1x30,PCA_Exp2_0_var2.png,Exp2,0,var2,0,9.1015625
Dense1x30,PCA_Exp2_0_var3.png,Exp2,0,var3,0,4.3505859375
Dense1x30,PCA_Exp2_0_var4.png,Exp2,0,var4,5,1.6796875
Dense1x30,PCA_Exp2_1_var0.png,Exp2,1,var0,1,7.0751953125
Dense1x30,PCA_Exp2_1_var1.png,Exp2,1,var1,1,5.2685546875
Dense1x30,PCA_Exp2_1_var2.png,Exp2,1,var2,3,1.1669921875
Dense1x30,PCA_Exp2_1_var3.png,Exp2,1,var3,3,4.1650390625
Dense1x30,PCA_Exp2_1_var4.png,Exp2,1,var4,3,5.7958984375
Dense1x30,PCA_Exp2_3_var0.png,Exp2,3,var0,3,25.068359375
Dense1x30,PCA_Exp2_3_var1.png,Exp2,3,var1,3,23.30078125
Dense1x30,PCA_Exp2_3_var2.png,Exp2,3,var2,3,20.8056640625
Dense1x30,PCA_Exp2_3_var3.png,Exp2,3,var3,3,18.5791015625
Dense1x30,PCA_Exp2_3_var4.png,Exp2,3,var4,3,16.0888671875
Dense1x30,PCA_MNIST_0_var0.png,MNIST,0,var0,0,6.34765625
Dense1x30,PCA_MNIST_0_var1.png,MNIST,0,var1,0,7.7880859375
Dense1x30,PCA_MNIST_0_var2.png,MNIST,0,var2,0,7.12890625
Dense1x30,PCA_MNIST_0_var3.png,MNIST,0,var3,0,5.9912109375
Dense1x30,PCA_MNIST_0_var4.png,MNIST,0,var4,0,4.140625
Dense1x30,PCA_MNIST_1_var0.png,MNIST,1,var0,1,3.525390625
Dense1x30,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.130859375
Dense1x30,PCA_MNIST_1_var2.png,MNIST,1,var2,1,4.248046875
Dense1x30,PCA_MNIST_1_var3.png,MNIST,1,var3,1,4.2919921875
Dense1x30,PCA_MNIST_1_var4.png,MNIST,1,var4,1,3.1103515625
Dense1x30,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.98046875
Dense1x30,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.419921875
Dense1x30,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.556640625
Dense1x30,PCA_MNIST_3_var3.png,MNIST,3,var3,3,4.814453125
Dense1x30,PCA_MNIST_3_var4.png,MNIST,3,var4,3,3.896484375
Dense1x35,PCA_Exp2_0_var0.png,Exp2,0,var0,0,15.9423828125
Dense1x35,PCA_Exp2_0_var1.png,Exp2,0,var1,0,14.6337890625
Dense1x35,PCA_Exp2_0_var2.png,Exp2,0,var2,0,11.0107421875
Dense1x35,PCA_Exp2_0_var3.png,Exp2,0,var3,0,5.947265625
Dense1x35,PCA_Exp2_0_var4.png,Exp2,0,var4,0,0.732421875
Dense1x35,PCA_Exp2_1_var0.png,Exp2,1,var0,1,12.3974609375
Dense1x35,PCA_Exp2_1_var1.png,Exp2,1,var1,1,12.48046875
Dense1x35,PCA_Exp2_1_var2.png,Exp2,1,var2,1,9.619140625
Dense1x35,PCA_Exp2_1_var3.png,Exp2,1,var3,1,2.724609375
Dense1x35,PCA_Exp2_1_var4.png,Exp2,1,var4,3,4.6240234375
Dense1x35,PCA_Exp2_3_var0.png,Exp2,3,var0,3,27.2265625
Dense1x35,PCA_Exp2_3_var1.png,Exp2,3,var1,3,25.0048828125
Dense1x35,PCA_Exp2_3_var2.png,Exp2,3,var2,3,20.8544921875
Dense1x35,PCA_Exp2_3_var3.png,Exp2,3,var3,3,16.1474609375
Dense1x35,PCA_Exp2_3_var4.png,Exp2,3,var4,3,11.9677734375
Dense1x35,PCA_MNIST_0_var0.png,MNIST,0,var0,0,5.3662109375
Dense1x35,PCA_MNIST_0_var1.png,MNIST,0,var1,0,6.6748046875
Dense1x35,PCA_MNIST_0_var2.png,MNIST,0,var2,0,6.0791015625
Dense1x35,PCA_MNIST_0_var3.png,MNIST,0,var3,0,4.8486328125
Dense1x35,PCA_MNIST_0_var4.png,MNIST,0,var4,0,3.1494140625
Dense1x35,PCA_MNIST_1_var0.png,MNIST,1,var0,1,4.1748046875
Dense1x35,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.3505859375
Dense1x35,PCA_MNIST_1_var2.png,MNIST,1,var2,1,3.740234375
Dense1x35,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.3203125
Dense1x35,PCA_MNIST_1_var4.png,MNIST,1,var4,1,2.5634765625
Dense1x35,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.1015625
Dense1x35,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.1220703125
Dense1x35,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.7958984375
Dense1x35,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.6298828125
Dense1x35,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.9853515625
Dense1x40,PCA_Exp2_0_var0.png,Exp2,0,var0,0,15.2734375
Dense1x40,PCA_Exp2_0_var1.png,Exp2,0,var1,0,13.6181640625
Dense1x40,PCA_Exp2_0_var2.png,Exp2,0,var2,0,10.37109375
Dense1x40,PCA_Exp2_0_var3.png,Exp2,0,var3,0,6.3134765625
Dense1x40,PCA_Exp2_0_var4.png,Exp2,0,var4,0,0.5908203125
Dense1x40,PCA_Exp2_1_var0.png,Exp2,1,var0,1,7.0458984375
Dense1x40,PCA_Exp2_1_var1.png,Exp2,1,var1,1,5.87890625
Dense1x40,PCA_Exp2_1_var2.png,Exp2,1,var2,1,1.5966796875
Dense1x40,PCA_Exp2_1_var3.png,Exp2,1,var3,2,1.630859375
Dense1x40,PCA_Exp2_1_var4.png,Exp2,1,var4,2,1.2841796875
Dense1x40,PCA_Exp2_3_var0.png,Exp2,3,var0,3,24.1748046875
Dense1x40,PCA_Exp2_3_var1.png,Exp2,3,var1,3,22.1728515625
Dense1x40,PCA_Exp2_3_var2.png,Exp2,3,var2,3,18.4033203125
Dense1x40,PCA_Exp2_3_var3.png,Exp2,3,var3,3,14.6923828125
Dense1x40,PCA_Exp2_3_var4.png,Exp2,3,var4,3,11.93359375
Dense1x40,PCA_MNIST_0_var0.png,MNIST,0,var0,0,5.09765625
Dense1x40,PCA_MNIST_0_var1.png,MNIST,0,var1,0,6.6259765625
Dense1x40,PCA_MNIST_0_var2.png,MNIST,0,var2,0,6.6943359375
Dense1x40,PCA_MNIST_0_var3.png,MNIST,0,var3,0,6.0107421875
Dense1x40,PCA_MNIST_0_var4.png,MNIST,0,var4,0,4.1259765625
Dense1x40,PCA_MNIST_1_var0.png,MNIST,1,var0,1,3.7353515625
Dense1x40,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.1357421875
Dense1x40,PCA_MNIST_1_var2.png,MNIST,1,var2,1,4.0673828125
Dense1x40,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.9794921875
Dense1x40,PCA_MNIST_1_var4.png,MNIST,1,var4,1,3.49609375
Dense1x40,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.9267578125
Dense1x40,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.517578125
Dense1x40,PCA_MNIST_3_var2.png,MNIST,3,var2,3,6.58203125
Dense1x40,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.9375
Dense1x40,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.697265625
Dense1x45,PCA_Exp2_0_var0.png,Exp2,0,var0,0,11.8896484375
Dense1x45,PCA_Exp2_0_var1.png,Exp2,0,var1,0,10.3515625
Dense1x45,PCA_Exp2_0_var2.png,Exp2,0,var2,0,7.6123046875
Dense1x45,PCA_Exp2_0_var3.png,Exp2,0,var3,0,4.013671875
Dense1x45,PCA_Exp2_0_var4.png,Exp2,0,var4,0,0.654296875
Dense1x45,PCA_Exp2_1_var0.png,Exp2,1,var0,1,10.3173828125
Dense1x45,PCA_Exp2_1_var1.png,Exp2,1,var1,1,7.1044921875
Dense1x45,PCA_Exp2_1_var2.png,Exp2,1,var2,3,0.1611328125
Dense1x45,PCA_Exp2_1_var3.png,Exp2,1,var3,3,3.3447265625
Dense1x45,PCA_Exp2_1_var4.png,Exp2,1,var4,3,3.349609375
Dense1x45,PCA_Exp2_3_var0.png,Exp2,3,var0,3,24.892578125
Dense1x45,PCA_Exp2_3_var1.png,Exp2,3,var1,3,22.91015625
Dense1x45,PCA_Exp2_3_var2.png,Exp2,3,var2,3,18.5595703125
Dense1x45,PCA_Exp2_3_var3.png,Exp2,3,var3,3,14.4677734375
Dense1x45,PCA_Exp2_3_var4.png,Exp2,3,var4,3,10.3466796875
Dense1x45,PCA_MNIST_0_var0.png,MNIST,0,var0,0,5.44921875
Dense1x45,PCA_MNIST_0_var1.png,MNIST,0,var1,0,6.58203125
Dense1x45,PCA_MNIST_0_var2.png,MNIST,0,var2,0,5.703125
Dense1x45,PCA_MNIST_0_var3.png,MNIST,0,var3,0,4.8291015625
Dense1x45,PCA_MNIST_0_var4.png,MNIST,0,var4,0,3.3642578125
Dense1x45,PCA_MNIST_1_var0.png,MNIST,1,var0,1,4.4580078125
Dense1x45,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.453125
Dense1x45,PCA_MNIST_1_var2.png,MNIST,1,var2,1,3.4814453125
Dense1x45,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.1494140625
Dense1x45,PCA_MNIST_1_var4.png,MNIST,1,var4,1,2.9248046875
Dense1x45,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.4140625
Dense1x45,PCA_MNIST_3_var1.png,MNIST,3,var1,3,4.365234375
Dense1x45,PCA_MNIST_3_var2.png,MNIST,3,var2,3,4.140625
Dense1x45,PCA_MNIST_3_var3.png,MNIST,3,var3,3,3.994140625
Dense1x45,PCA_MNIST_3_var4.png,MNIST,3,var4,3,3.4423828125
Dense1x50,PCA_Exp2_0_var0.png,Exp2,0,var0,0,15.771484375
Dense1x50,PCA_Exp2_0_var1.png,Exp2,0,var1,0,13.88671875
Dense1x50,PCA_Exp2_0_var2.png,Exp2,0,var2,0,10.3662109375
Dense1x50,PCA_Exp2_0_var3.png,Exp2,0,var3,0,5.673828125
Dense1x50,PCA_Exp2_0_var4.png,Exp2,0,var4,0,0.302734375
Dense1x50,PCA_Exp2_1_var0.png,Exp2,1,var0,1,8.2958984375
Dense1x50,PCA_Exp2_1_var1.png,Exp2,1,var1,1,7.314453125
Dense1x50,PCA_Exp2_1_var2.png,Exp2,1,var2,1,5.6982421875
Dense1x50,PCA_Exp2_1_var3.png,Exp2,1,var3,1,1.8359375
Dense1x50,PCA_Exp2_1_var4.png,Exp2,1,var4,3,3.0126953125
Dense1x50,PCA_Exp2_3_var0.png,Exp2,3,var0,3,22.5634765625
Dense1x50,PCA_Exp2_3_var1.png,Exp2,3,var1,3,20.751953125
Dense1x50,PCA_Exp2_3_var2.png,Exp2,3,var2,3,18.3056640625
Dense1x50,PCA_Exp2_3_var3.png,Exp2,3,var3,3,15.9765625
Dense1x50,PCA_Exp2_3_var4.png,Exp2,3,var4,3,14.0869140625
Dense1x50,PCA_MNIST_0_var0.png,MNIST,0,var0,0,6.5234375
Dense1x50,PCA_MNIST_0_var1.png,MNIST,0,var1,0,8.1103515625
Dense1x50,PCA_MNIST_0_var2.png,MNIST,0,var2,0,7.36328125
Dense1x50,PCA_MNIST_0_var3.png,MNIST,0,var3,0,6.044921875
Dense1x50,PCA_MNIST_0_var4.png,MNIST,0,var4,0,4.3359375
Dense1x50,PCA_MNIST_1_var0.png,MNIST,1,var0,1,4.1552734375
Dense1x50,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.1357421875
Dense1x50,PCA_MNIST_1_var2.png,MNIST,1,var2,1,3.8525390625
Dense1x50,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.5205078125
Dense1x50,PCA_MNIST_1_var4.png,MNIST,1,var4,1,2.87109375
Dense1x50,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.9267578125
Dense1x50,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.4052734375
Dense1x50,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.9423828125
Dense1x50,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.185546875
Dense1x50,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.140625
Dense1x55,PCA_Exp2_0_var0.png,Exp2,0,var0,0,14.7802734375
Dense1x55,PCA_Exp2_0_var1.png,Exp2,0,var1,0,14.2041015625
Dense1x55,PCA_Exp2_0_var2.png,Exp2,0,var2,0,10.15625
Dense1x55,PCA_Exp2_0_var3.png,Exp2,0,var3,0,5.1806640625
Dense1x55,PCA_Exp2_0_var4.png,Exp2,0,var4,5,0.7861328125
Dense1x55,PCA_Exp2_1_var0.png,Exp2,1,var0,1,8.8232421875
Dense1x55,PCA_Exp2_1_var1.png,Exp2,1,var1,1,8.53515625
Dense1x55,PCA_Exp2_1_var2.png,Exp2,1,var2,1,2.5732421875
Dense1x55,PCA_Exp2_1_var3.png,Exp2,1,var3,3,4.482421875
Dense1x55,PCA_Exp2_1_var4.png,Exp2,1,var4,3,4.5263671875
Dense1x55,PCA_Exp2_3_var0.png,Exp2,3,var0,3,28.1494140625
Dense1x55,PCA_Exp2_3_var1.png,Exp2,3,var1,3,26.4013671875
Dense1x55,PCA_Exp2_3_var2.png,Exp2,3,var2,3,22.1728515625
Dense1x55,PCA_Exp2_3_var3.png,Exp2,3,var3,3,17.2119140625
Dense1x55,PCA_Exp2_3_var4.png,Exp2,3,var4,3,12.197265625
Dense1x55,PCA_MNIST_0_var0.png,MNIST,0,var0,0,5.693359375
Dense1x55,PCA_MNIST_0_var1.png,MNIST,0,var1,0,7.4609375
Dense1x55,PCA_MNIST_0_var2.png,MNIST,0,var2,0,7.470703125
Dense1x55,PCA_MNIST_0_var3.png,MNIST,0,var3,0,6.689453125
Dense1x55,PCA_MNIST_0_var4.png,MNIST,0,var4,0,4.74609375
Dense1x55,PCA_MNIST_1_var0.png,MNIST,1,var0,1,4.0771484375
Dense1x55,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.1943359375
Dense1x55,PCA_MNIST_1_var2.png,MNIST,1,var2,1,4.0185546875
Dense1x55,PCA_MNIST_1_var3.png,MNIST,1,var3,1,4.560546875
Dense1x55,PCA_MNIST_1_var4.png,MNIST,1,var4,1,4.0625
Dense1x55,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.5654296875
Dense1x55,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.3271484375
Dense1x55,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.9423828125
Dense1x55,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.3564453125
Dense1x55,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.3359375
Dense1x60,PCA_Exp2_0_var0.png,Exp2,0,var0,0,14.6923828125
Dense1x60,PCA_Exp2_0_var1.png,Exp2,0,var1,0,12.8857421875
Dense1x60,PCA_Exp2_0_var2.png,Exp2,0,var2,0,9.6875
Dense1x60,PCA_Exp2_0_var3.png,Exp2,0,var3,0,5.703125
Dense1x60,PCA_Exp2_0_var4.png,Exp2,0,var4,0,1.0546875
Dense1x60,PCA_Exp2_1_var0.png,Exp2,1,var0,1,6.9677734375
Dense1x60,PCA_Exp2_1_var1.png,Exp2,1,var1,1,7.8173828125
Dense1x60,PCA_Exp2_1_var2.png,Exp2,1,var2,1,3.8818359375
Dense1x60,PCA_Exp2_1_var3.png,Exp2,1,var3,3,4.1064453125
Dense1x60,PCA_Exp2_1_var4.png,Exp2,1,var4,3,7.5048828125
Dense1x60,PCA_Exp2_3_var0.png,Exp2,3,var0,3,24.6533203125
Dense1x60,PCA_Exp2_3_var1.png,Exp2,3,var1,3,22.7880859375
Dense1x60,PCA_Exp2_3_var2.png,Exp2,3,var2,3,19.5751953125
Dense1x60,PCA_Exp2_3_var3.png,Exp2,3,var3,3,16.3134765625
Dense1x60,PCA_Exp2_3_var4.png,Exp2,3,var4,3,13.9990234375
Dense1x60,PCA_MNIST_0_var0.png,MNIST,0,var0,0,5.5810546875
Dense1x60,PCA_MNIST_0_var1.png,MNIST,0,var1,0,7.1435546875
Dense1x60,PCA_MNIST_0_var2.png,MNIST,0,var2,0,6.845703125
Dense1x60,PCA_MNIST_0_var3.png,MNIST,0,var3,0,5.5859375
Dense1x60,PCA_MNIST_0_var4.png,MNIST,0,var4,0,3.9599609375
Dense1x60,PCA_MNIST_1_var0.png,MNIST,1,var0,1,3.9599609375
Dense1x60,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.1259765625
Dense1x60,PCA_MNIST_1_var2.png,MNIST,1,var2,1,3.37890625
Dense1x60,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.8525390625
Dense1x60,PCA_MNIST_1_var4.png,MNIST,1,var4,1,3.8671875
Dense1x60,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.90234375
Dense1x60,PCA_MNIST_3_var1.png,MNIST,3,var1,3,4.716796875
Dense1x60,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.126953125
Dense1x60,PCA_MNIST_3_var3.png,MNIST,3,var3,3,4.7412109375
Dense1x60,PCA_MNIST_3_var4.png,MNIST,3,var4,3,3.7353515625
Dense1x65,PCA_Exp2_0_var0.png,Exp2,0,var0,0,13.1884765625
Dense1x65,PCA_Exp2_0_var1.png,Exp2,0,var1,0,10.947265625
Dense1x65,PCA_Exp2_0_var2.png,Exp2,0,var2,0,7.36328125
Dense1x65,PCA_Exp2_0_var3.png,Exp2,0,var3,0,2.4951171875
Dense1x65,PCA_Exp2_0_var4.png,Exp2,0,var4,5,3.1591796875
Dense1x65,PCA_Exp2_1_var0.png,Exp2,1,var0,1,9.4970703125
Dense1x65,PCA_Exp2_1_var1.png,Exp2,1,var1,1,9.2724609375
Dense1x65,PCA_Exp2_1_var2.png,Exp2,1,var2,1,4.47265625
Dense1x65,PCA_Exp2_1_var3.png,Exp2,1,var3,3,3.9404296875
Dense1x65,PCA_Exp2_1_var4.png,Exp2,1,var4,3,5.4541015625
Dense1x65,PCA_Exp2_3_var0.png,Exp2,3,var0,3,25.693359375
Dense1x65,PCA_Exp2_3_var1.png,Exp2,3,var1,3,24.6435546875
Dense1x65,PCA_Exp2_3_var2.png,Exp2,3,var2,3,23.1103515625
Dense1x65,PCA_Exp2_3_var3.png,Exp2,3,var3,3,19.921875
Dense1x65,PCA_Exp2_3_var4.png,Exp2,3,var4,3,16.3720703125
Dense1x65,PCA_MNIST_0_var0.png,MNIST,0,var0,0,4.765625
Dense1x65,PCA_MNIST_0_var1.png,MNIST,0,var1,0,6.1572265625
Dense1x65,PCA_MNIST_0_var2.png,MNIST,0,var2,0,6.0888671875
Dense1x65,PCA_MNIST_0_var3.png,MNIST,0,var3,0,5.283203125
Dense1x65,PCA_MNIST_0_var4.png,MNIST,0,var4,0,3.505859375
Dense1x65,PCA_MNIST_1_var0.png,MNIST,1,var0,1,3.8232421875
Dense1x65,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.21875
Dense1x65,PCA_MNIST_1_var2.png,MNIST,1,var2,1,3.896484375
Dense1x65,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.88671875
Dense1x65,PCA_MNIST_1_var4.png,MNIST,1,var4,1,3.37890625
Dense1x65,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.2236328125
Dense1x65,PCA_MNIST_3_var1.png,MNIST,3,var1,3,4.5068359375
Dense1x65,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.185546875
Dense1x65,PCA_MNIST_3_var3.png,MNIST,3,var3,3,4.833984375
Dense1x65,PCA_MNIST_3_var4.png,MNIST,3,var4,3,3.984375
Dense1x70,PCA_Exp2_0_var0.png,Exp2,0,var0,0,13.701171875
Dense1x70,PCA_Exp2_0_var1.png,Exp2,0,var1,0,13.9599609375
Dense1x70,PCA_Exp2_0_var2.png,Exp2,0,var2,0,10.6982421875
Dense1x70,PCA_Exp2_0_var3.png,Exp2,0,var3,0,6.25
Dense1x70,PCA_Exp2_0_var4.png,Exp2,0,var4,0,0.361328125
